W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 24/32 | epoch 8/540 | loss 1.04907 | lr 2.480e-04 | grad 0.123 | data-wait 0.2% | tok/s 349,360.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.4% | ETA 3:11:00
[train] batch 28/32 | epoch 8/540 | loss 1.04778 | lr 2.520e-04 | grad 0.113 | data-wait 0.1% | tok/s 350,399.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.5% | ETA 3:10:52
[train] batch 32/32 | epoch 8/540 | loss 1.04635 | lr 2.560e-04 | grad 0.118 | data-wait 0.0% | tok/s 354,792.9 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.5% | ETA 3:10:43
[train] batch 4/32 | epoch 9/540 | loss 1.04507 | lr 2.600e-04 | grad 0.120 | data-wait 0.8% | tok/s 342,059.2 | gpu-peak 20.39/23.65 GiB | gpu-util 96.1% | 1.5% | ETA 3:10:39
[train] batch 8/32 | epoch 9/540 | loss 1.04577 | lr 2.640e-04 | grad 0.130 | data-wait 0.2% | tok/s 349,089.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 1.5% | ETA 3:10:33
[train] batch 12/32 | epoch 9/540 | loss 1.04452 | lr 2.680e-04 | grad 0.124 | data-wait 0.2% | tok/s 349,105.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.6% | ETA 3:10:26
[train] batch 16/32 | epoch 9/540 | loss 1.04361 | lr 2.720e-04 | grad 0.122 | data-wait 0.2% | tok/s 347,335.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.6% | ETA 3:10:21
[train] batch 20/32 | epoch 9/540 | loss 1.04384 | lr 2.760e-04 | grad 0.121 | data-wait 0.2% | tok/s 349,801.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.6% | ETA 3:10:14
[train] batch 24/32 | epoch 9/540 | loss 1.04380 | lr 2.800e-04 | grad 0.120 | data-wait 0.2% | tok/s 352,405.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.6% | ETA 3:10:07
[train] batch 28/32 | epoch 9/540 | loss 1.04348 | lr 2.840e-04 | grad 0.117 | data-wait 0.1% | tok/s 352,129.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.6% | ETA 3:09:59
